dataset,runs,wins,mean_delta_kl,median_delta_kl,before_test_kl,after_test_kl,reloads
vehicle,9,9,0.2403348907828331,0.17737339064478874,0.6320444924963845,0.3917096017135514,9
blood-transfusion-service-center,9,9,0.03821841888647112,0.038925331085920334,0.057653866397837795,0.019435447511366673,9
diabetes,9,9,0.050279442945288286,0.0599103607237339,0.07628910491863887,0.026009661973350577,9
phoneme,9,9,0.057965235577689275,0.03961174190044403,0.2801346100038952,0.22216937442620596,9
spambase,9,9,0.15541451341576046,0.10243244469165802,0.2847542961438497,0.12933978272808921,9
balance-scale,9,9,0.19721035017735428,0.24407261610031128,0.6588140279054642,0.4616036777281099,9
image-segmentation,9,9,0.2459296708305677,0.25095362961292267,0.6677698956595527,0.421840224828985,9
landsat-satellite,9,9,0.21739986290534338,0.1370851844549179,0.4809565842151642,0.26355672130982083,0
